job_role,main_skill,additional_skills,education,experience_years,projects_count,certifications_count,is_user_ready_for_job,targeted_job,skills_required_to_learn
Backend Developer,"Java, Spring Boot, Node.js","Git, Firebase",B.Tech,Fresher,5,0,No,Backend Developer,Spring Boot
Frontend Developer,"HTML, CSS, JavaScript","Firebase, MongoDB, Git, REST API",BCA,Fresher,3,3,Yes,Frontend Developer,None
Python Developer,"Python, Flask, Django","DSA, System Design, Firebase, REST API, MongoDB",Diploma,3-5,3,3,Yes,Python Developer,None
Data Analyst,"Python, SQL, Excel","System Design, AWS, MongoDB, Linux",B.Sc,0-1,1,2,No,Data Analyst,"Python, Excel, SQL"
Android Developer,"Java, Kotlin, Android SDK","Firebase, AWS, Git",B.Tech,0-1,4,0,No,Android Developer,"Kotlin, Java"
Java Developer,"Java, OOP, Spring","REST API, CI/CD, MongoDB, AWS",M.Sc,1-3,5,2,Yes,Java Developer,None
Full Stack Developer,"JavaScript, React, Node.js","System Design, Git, CI/CD",B.Sc,1-3,4,2,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","System Design, AWS, REST API, CI/CD",B.Tech,Fresher,1,1,No,Data Scientist,Statistics
Data Analyst,"Python, SQL, Excel","AWS, REST API, Firebase, MongoDB, Docker",MCA,Fresher,1,2,No,Data Analyst,Excel
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, DSA, Docker",BCA,0-1,5,1,Yes,Frontend Developer,None
Python Developer,"Python, Flask, Django","Linux, CI/CD",M.Sc,0-1,3,3,Yes,Python Developer,None
Python Developer,"Python, Flask, Django","Linux, MongoDB, CI/CD",Diploma,0-1,1,4,No,Python Developer,"Flask, Python"
Data Analyst,"Python, SQL, Excel","Git, DSA",B.Sc,1-3,5,1,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","Docker, AWS, DSA",M.Sc,1-3,4,3,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","System Design, DSA, Git",BCA,0-1,2,2,Yes,Frontend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","AWS, Linux, Docker, Git, MongoDB",MCA,3-5,1,1,No,ML Engineer,"Python, TensorFlow"
Flutter Developer,"Dart, Flutter","REST API, System Design, Git, CI/CD",Diploma,0-1,5,3,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","Firebase, Docker, System Design, Linux, REST API",B.Tech,0-1,0,4,No,Flutter Developer,"Flutter, Dart"
Data Scientist,"Python, Machine Learning, Statistics","Docker, AWS, CI/CD, Git, MongoDB",B.Sc,Fresher,1,2,No,Data Scientist,"Machine Learning, Statistics"
Data Analyst,"Python, SQL, Excel","Docker, AWS",M.Sc,3-5,6,4,Yes,Data Analyst,None
Android Developer,"Java, Kotlin, Android SDK","MongoDB, Linux, Docker, REST API",B.Sc,3-5,6,2,Yes,Android Developer,None
Flutter Developer,"Dart, Flutter","DSA, AWS, Git, REST API",BCA,1-3,1,3,No,Flutter Developer,Dart
Android Developer,"Java, Kotlin, Android SDK","Git, AWS",B.Sc,3-5,0,4,No,Android Developer,"Kotlin, Android SDK, Java"
Data Analyst,"Python, SQL, Excel","REST API, Linux, CI/CD, System Design, Firebase",MCA,3-5,3,0,No,Data Analyst,Excel
Flutter Developer,"Dart, Flutter","REST API, System Design, Docker, Linux, AWS",B.Sc,3-5,5,2,Yes,Flutter Developer,None
Java Developer,"Java, OOP, Spring","Docker, Firebase, Linux, CI/CD, Git",BCA,3-5,3,4,Yes,Java Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, CI/CD, REST API",B.Sc,Fresher,2,0,No,Frontend Developer,JavaScript
Python Developer,"Python, Flask, Django","MongoDB, AWS",BCA,0-1,1,1,No,Python Developer,"Python, Flask, Django"
Python Developer,"Python, Flask, Django","DSA, MongoDB",M.Sc,1-3,1,3,No,Python Developer,"Python, Django"
Backend Developer,"Java, Spring Boot, Node.js","System Design, CI/CD, DSA, Git, MongoDB",B.Sc,0-1,4,1,Yes,Backend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","REST API, Firebase, AWS, System Design",M.Sc,0-1,0,2,No,Full Stack Developer,React
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, REST API, Firebase, System Design",Diploma,Fresher,2,2,Yes,Frontend Developer,None
Android Developer,"Java, Kotlin, Android SDK","CI/CD, AWS, DSA, Git",B.Sc,0-1,3,1,Yes,Android Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Linux, System Design, DSA, REST API",M.Sc,3-5,5,2,Yes,Frontend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","System Design, DSA, MongoDB, REST API, Docker",B.Sc,1-3,4,0,No,Data Scientist,Machine Learning
Full Stack Developer,"JavaScript, React, Node.js","AWS, Docker, MongoDB, REST API, CI/CD",MCA,1-3,2,4,Yes,Full Stack Developer,None
Frontend Developer,"HTML, CSS, JavaScript","System Design, Docker",MCA,3-5,5,2,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Firebase, Linux, DSA",B.Sc,1-3,2,3,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, Linux, System Design, MongoDB, AWS",M.Sc,1-3,6,1,Yes,Backend Developer,None
Data Analyst,"Python, SQL, Excel","System Design, Git, REST API",Diploma,Fresher,3,3,Yes,Data Analyst,None
Python Developer,"Python, Flask, Django","DSA, Firebase",BCA,1-3,6,3,Yes,Python Developer,None
Data Analyst,"Python, SQL, Excel","MongoDB, CI/CD, REST API",Diploma,3-5,5,0,No,Data Analyst,"SQL, Python"
Data Scientist,"Python, Machine Learning, Statistics","System Design, Docker",B.Tech,1-3,3,4,Yes,Data Scientist,None
Data Analyst,"Python, SQL, Excel","Git, DSA, AWS, MongoDB, Docker",MCA,1-3,5,1,Yes,Data Analyst,None
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, MongoDB, Linux",B.Sc,0-1,3,4,Yes,Full Stack Developer,None
Python Developer,"Python, Flask, Django","AWS, Linux",MCA,1-3,3,1,Yes,Python Developer,None
Backend Developer,"Java, Spring Boot, Node.js","AWS, Linux, DSA, MongoDB",B.Sc,3-5,1,4,No,Backend Developer,"Node.js, Spring Boot, Java"
Android Developer,"Java, Kotlin, Android SDK","DSA, Firebase, AWS, Docker",B.Tech,Fresher,0,1,No,Android Developer,Kotlin
Android Developer,"Java, Kotlin, Android SDK","Linux, DSA, CI/CD, Docker, Firebase",M.Sc,1-3,0,3,No,Android Developer,"Android SDK, Java"
Data Scientist,"Python, Machine Learning, Statistics","Firebase, Docker",M.Sc,0-1,2,3,Yes,Data Scientist,None
Data Analyst,"Python, SQL, Excel","Docker, Linux, CI/CD, MongoDB",M.Sc,3-5,3,1,Yes,Data Analyst,None
ML Engineer,"Python, Deep Learning, TensorFlow","MongoDB, DSA",Diploma,Fresher,4,2,Yes,ML Engineer,None
Full Stack Developer,"JavaScript, React, Node.js","AWS, REST API, Docker",MCA,3-5,6,0,No,Full Stack Developer,"JavaScript, React, Node.js"
Flutter Developer,"Dart, Flutter","MongoDB, CI/CD, DSA",B.Tech,1-3,5,4,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","Firebase, MongoDB",MCA,Fresher,5,2,Yes,Flutter Developer,None
Backend Developer,"Java, Spring Boot, Node.js","System Design, DSA, Firebase, Linux, Git",MCA,1-3,5,1,Yes,Backend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Git, DSA, CI/CD, Firebase",BCA,0-1,4,0,No,Full Stack Developer,"JavaScript, Node.js, React"
Flutter Developer,"Dart, Flutter","MongoDB, Linux",M.Sc,1-3,6,2,Yes,Flutter Developer,None
Data Analyst,"Python, SQL, Excel","CI/CD, Git, MongoDB, Docker, REST API",MCA,1-3,3,1,Yes,Data Analyst,None
Flutter Developer,"Dart, Flutter","CI/CD, Git",B.Tech,0-1,2,0,No,Flutter Developer,"Flutter, Dart"
Frontend Developer,"HTML, CSS, JavaScript","Git, MongoDB, System Design, DSA, CI/CD",M.Sc,0-1,1,4,No,Frontend Developer,"JavaScript, HTML, CSS"
Frontend Developer,"HTML, CSS, JavaScript","Linux, DSA, CI/CD, Firebase, System Design",M.Sc,0-1,1,2,No,Frontend Developer,CSS
Backend Developer,"Java, Spring Boot, Node.js","Git, Docker",B.Tech,Fresher,0,4,No,Backend Developer,"Spring Boot, Node.js, Java"
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, Git, AWS, CI/CD",B.Tech,3-5,1,0,No,Backend Developer,Spring Boot
Flutter Developer,"Dart, Flutter","Firebase, CI/CD, REST API, Docker, AWS",B.Tech,1-3,4,1,Yes,Flutter Developer,None
Data Scientist,"Python, Machine Learning, Statistics","AWS, Linux, MongoDB, DSA, System Design",B.Tech,0-1,0,0,No,Data Scientist,Statistics
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, AWS",B.Sc,1-3,0,0,No,Backend Developer,"Node.js, Java, Spring Boot"
Android Developer,"Java, Kotlin, Android SDK","REST API, Docker, CI/CD",MCA,0-1,0,1,No,Android Developer,Java
Flutter Developer,"Dart, Flutter","REST API, Git, AWS, Linux",M.Sc,Fresher,5,4,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","CI/CD, DSA, MongoDB, Git, System Design",M.Sc,Fresher,4,3,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, REST API, MongoDB, Linux",Diploma,1-3,4,4,Yes,Full Stack Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Docker, REST API, MongoDB",MCA,3-5,5,4,Yes,ML Engineer,None
Frontend Developer,"HTML, CSS, JavaScript","System Design, Git, Linux, AWS, Docker",BCA,Fresher,2,2,Yes,Frontend Developer,None
Java Developer,"Java, OOP, Spring","Linux, Firebase, MongoDB",MCA,0-1,2,2,Yes,Java Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Linux, AWS, Docker, Firebase, DSA",Diploma,3-5,5,1,Yes,Backend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Docker, Linux, System Design, DSA, AWS",Diploma,3-5,1,1,No,Full Stack Developer,React
Backend Developer,"Java, Spring Boot, Node.js","CI/CD, Linux, Firebase, AWS",Diploma,1-3,3,4,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","AWS, Docker, Firebase",B.Sc,Fresher,5,0,No,Flutter Developer,"Dart, Flutter"
Flutter Developer,"Dart, Flutter","Docker, System Design, MongoDB, AWS",Diploma,0-1,1,4,No,Flutter Developer,"Dart, Flutter"
Full Stack Developer,"JavaScript, React, Node.js","REST API, AWS",Diploma,Fresher,0,0,No,Full Stack Developer,React
Full Stack Developer,"JavaScript, React, Node.js","REST API, MongoDB, Firebase, System Design, Docker",Diploma,3-5,3,3,Yes,Full Stack Developer,None
Flutter Developer,"Dart, Flutter","DSA, Linux, MongoDB, Firebase, Git",BCA,1-3,5,4,Yes,Flutter Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, AWS, DSA, Git",M.Sc,Fresher,6,2,Yes,ML Engineer,None
ML Engineer,"Python, Deep Learning, TensorFlow","AWS, Firebase, Git, Linux, REST API",M.Sc,0-1,0,4,No,ML Engineer,"Python, Deep Learning, TensorFlow"
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, Linux, Docker",M.Sc,1-3,4,0,No,Backend Developer,Node.js
Java Developer,"Java, OOP, Spring","Git, Linux, REST API",Diploma,3-5,0,3,No,Java Developer,"OOP, Spring"
Flutter Developer,"Dart, Flutter","CI/CD, REST API, MongoDB, System Design, Firebase",BCA,0-1,3,4,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, REST API",BCA,1-3,4,0,No,Full Stack Developer,"Node.js, JavaScript"
Backend Developer,"Java, Spring Boot, Node.js","DSA, AWS, CI/CD",BCA,Fresher,0,3,No,Backend Developer,Spring Boot
Data Analyst,"Python, SQL, Excel","CI/CD, AWS, Git, DSA, Docker",B.Tech,1-3,1,0,No,Data Analyst,"Python, Excel, SQL"
Java Developer,"Java, OOP, Spring","AWS, DSA, Docker",M.Sc,1-3,0,2,No,Java Developer,Java
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, Docker, Linux, Git, REST API",B.Tech,3-5,0,2,No,Full Stack Developer,"Node.js, JavaScript, React"
Backend Developer,"Java, Spring Boot, Node.js","Firebase, System Design, AWS",B.Sc,0-1,5,1,Yes,Backend Developer,None
Python Developer,"Python, Flask, Django","Linux, Git, DSA",B.Tech,0-1,2,0,No,Python Developer,"Python, Django, Flask"
Android Developer,"Java, Kotlin, Android SDK","Docker, REST API, System Design, DSA, AWS",M.Sc,Fresher,6,3,Yes,Android Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Firebase, Git, Docker, REST API, AWS",MCA,3-5,4,4,Yes,Data Scientist,None
Java Developer,"Java, OOP, Spring","Git, MongoDB, CI/CD, DSA, REST API",Diploma,0-1,0,2,No,Java Developer,"Spring, Java"
Data Analyst,"Python, SQL, Excel","AWS, MongoDB",MCA,3-5,2,4,Yes,Data Analyst,None
Backend Developer,"Java, Spring Boot, Node.js","System Design, Firebase",BCA,Fresher,3,3,Yes,Backend Developer,None
Data Analyst,"Python, SQL, Excel","CI/CD, MongoDB, Git, REST API, System Design",B.Sc,Fresher,3,1,Yes,Data Analyst,None
Flutter Developer,"Dart, Flutter","DSA, AWS",B.Sc,3-5,0,1,No,Flutter Developer,"Dart, Flutter"
Frontend Developer,"HTML, CSS, JavaScript","Git, REST API, MongoDB, DSA",Diploma,Fresher,4,2,Yes,Frontend Developer,None
Java Developer,"Java, OOP, Spring","DSA, AWS, MongoDB, Docker, Linux",Diploma,Fresher,1,3,No,Java Developer,"OOP, Spring, Java"
Android Developer,"Java, Kotlin, Android SDK","Linux, DSA, REST API",Diploma,1-3,4,0,No,Android Developer,"Java, Kotlin"
Data Scientist,"Python, Machine Learning, Statistics","Git, MongoDB, Firebase",M.Sc,0-1,5,3,Yes,Data Scientist,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, DSA, MongoDB, Linux, CI/CD",BCA,3-5,4,0,No,Backend Developer,"Node.js, Java, Spring Boot"
Flutter Developer,"Dart, Flutter","AWS, DSA, Docker",B.Tech,1-3,5,3,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, Firebase, CI/CD",B.Sc,0-1,2,4,Yes,Full Stack Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","System Design, Linux, CI/CD",Diploma,1-3,5,2,Yes,ML Engineer,None
Backend Developer,"Java, Spring Boot, Node.js","System Design, Firebase, Docker, Linux, REST API",M.Sc,1-3,5,0,No,Backend Developer,"Java, Node.js"
Frontend Developer,"HTML, CSS, JavaScript","REST API, CI/CD, Git, MongoDB, System Design",BCA,1-3,1,3,No,Frontend Developer,JavaScript
Python Developer,"Python, Flask, Django","Git, MongoDB, CI/CD, Docker, Linux",B.Tech,1-3,6,0,No,Python Developer,"Flask, Python, Django"
Data Scientist,"Python, Machine Learning, Statistics","REST API, Git, Linux, System Design, AWS",B.Tech,Fresher,1,4,No,Data Scientist,"Statistics, Python"
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, Docker, Linux",B.Tech,3-5,0,4,No,Backend Developer,"Java, Spring Boot"
Java Developer,"Java, OOP, Spring","Firebase, MongoDB, Docker, REST API",B.Sc,0-1,1,2,No,Java Developer,"Java, Spring, OOP"
Python Developer,"Python, Flask, Django","REST API, Firebase, Docker, Linux",B.Tech,1-3,0,3,No,Python Developer,"Django, Flask"
Python Developer,"Python, Flask, Django","REST API, Docker, AWS, Git, Firebase",B.Tech,3-5,5,1,Yes,Python Developer,None
Backend Developer,"Java, Spring Boot, Node.js","REST API, MongoDB, DSA, Linux",B.Tech,1-3,5,2,Yes,Backend Developer,None
Python Developer,"Python, Flask, Django","Firebase, MongoDB, Docker, Git",MCA,1-3,0,2,No,Python Developer,Python
Python Developer,"Python, Flask, Django","Git, REST API, MongoDB",M.Sc,0-1,0,3,No,Python Developer,"Python, Flask"
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, AWS",MCA,1-3,6,3,Yes,Data Scientist,None
Python Developer,"Python, Flask, Django","MongoDB, Linux",BCA,3-5,6,3,Yes,Python Developer,None
Flutter Developer,"Dart, Flutter","Docker, AWS, Firebase",BCA,0-1,0,2,No,Flutter Developer,"Flutter, Dart"
Flutter Developer,"Dart, Flutter","Git, CI/CD, Firebase, Docker",Diploma,3-5,5,4,Yes,Flutter Developer,None
Data Scientist,"Python, Machine Learning, Statistics","MongoDB, Linux",B.Tech,3-5,2,4,Yes,Data Scientist,None
Frontend Developer,"HTML, CSS, JavaScript","Linux, Git, Firebase, Docker",B.Tech,3-5,5,3,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Firebase, MongoDB, DSA, REST API, Docker",B.Tech,1-3,5,4,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","System Design, Linux, Docker, REST API",BCA,0-1,4,1,Yes,Flutter Developer,None
Android Developer,"Java, Kotlin, Android SDK","Docker, System Design, DSA",MCA,3-5,3,1,Yes,Android Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Linux, Git, CI/CD, System Design",M.Sc,3-5,5,2,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","REST API, Git, CI/CD, System Design",BCA,Fresher,1,4,No,Data Scientist,"Python, Statistics"
Java Developer,"Java, OOP, Spring","MongoDB, System Design, DSA",M.Sc,1-3,4,2,Yes,Java Developer,None
Full Stack Developer,"JavaScript, React, Node.js","DSA, Linux, Git, System Design, REST API",BCA,0-1,1,3,No,Full Stack Developer,React
Python Developer,"Python, Flask, Django","DSA, AWS, MongoDB",B.Tech,1-3,1,3,No,Python Developer,"Python, Django"
Android Developer,"Java, Kotlin, Android SDK","Firebase, CI/CD, Docker, REST API",B.Sc,3-5,4,4,Yes,Android Developer,None
Flutter Developer,"Dart, Flutter","CI/CD, REST API, Git",B.Sc,Fresher,5,0,No,Flutter Developer,Flutter
Android Developer,"Java, Kotlin, Android SDK","System Design, MongoDB, Linux",B.Tech,1-3,2,0,No,Android Developer,"Kotlin, Android SDK, Java"
ML Engineer,"Python, Deep Learning, TensorFlow","REST API, CI/CD, Git",BCA,0-1,3,0,No,ML Engineer,"Python, TensorFlow"
Data Analyst,"Python, SQL, Excel","Firebase, System Design, Docker, CI/CD, Git",M.Sc,0-1,3,0,No,Data Analyst,"Excel, SQL, Python"
Android Developer,"Java, Kotlin, Android SDK","System Design, Firebase",Diploma,0-1,3,2,Yes,Android Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Git, REST API, Docker, AWS, Firebase",Diploma,1-3,2,3,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Git, REST API, DSA, AWS, Linux",B.Sc,3-5,5,1,Yes,Backend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","REST API, Docker",Diploma,0-1,2,1,Yes,Full Stack Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, REST API",MCA,3-5,6,2,Yes,ML Engineer,None
Backend Developer,"Java, Spring Boot, Node.js","DSA, Git, REST API, AWS, Firebase",M.Sc,0-1,6,4,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","AWS, CI/CD",B.Tech,0-1,6,0,No,Flutter Developer,Flutter
Flutter Developer,"Dart, Flutter","MongoDB, Git, AWS, Firebase",B.Tech,Fresher,4,2,Yes,Flutter Developer,None
Java Developer,"Java, OOP, Spring","DSA, Docker",B.Sc,1-3,1,3,No,Java Developer,Java
Java Developer,"Java, OOP, Spring","Git, DSA, Firebase, Linux",MCA,0-1,4,0,No,Java Developer,"Spring, Java, OOP"
Data Analyst,"Python, SQL, Excel","Git, DSA, Docker, REST API",Diploma,1-3,2,3,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","Linux, Git, DSA, REST API, MongoDB",BCA,1-3,2,4,Yes,Data Analyst,None
Backend Developer,"Java, Spring Boot, Node.js","REST API, AWS, Firebase, Git, Docker",MCA,1-3,5,3,Yes,Backend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","DSA, Git",M.Sc,0-1,3,4,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","Docker, MongoDB, Linux, AWS, Firebase",M.Sc,Fresher,3,0,No,Flutter Developer,"Flutter, Dart"
Data Analyst,"Python, SQL, Excel","System Design, Docker",Diploma,3-5,6,4,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, Git, MongoDB",Diploma,Fresher,2,2,Yes,Frontend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","DSA, Git, Linux, CI/CD",MCA,Fresher,0,0,No,Frontend Developer,HTML
Python Developer,"Python, Flask, Django","Git, DSA, CI/CD, REST API, MongoDB",BCA,0-1,4,2,Yes,Python Developer,None
Java Developer,"Java, OOP, Spring","Linux, Git, DSA, Firebase, CI/CD",M.Sc,Fresher,2,0,No,Java Developer,"Spring, OOP, Java"
Full Stack Developer,"JavaScript, React, Node.js","Firebase, AWS",M.Sc,0-1,3,4,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Docker, System Design",M.Sc,0-1,4,0,No,Data Scientist,"Machine Learning, Statistics, Python"
Frontend Developer,"HTML, CSS, JavaScript","AWS, CI/CD, Linux, System Design",BCA,0-1,2,1,Yes,Frontend Developer,None
Java Developer,"Java, OOP, Spring","AWS, System Design, CI/CD, MongoDB",Diploma,0-1,6,4,Yes,Java Developer,None
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, AWS, CI/CD, DSA",B.Sc,3-5,2,0,No,Full Stack Developer,"Node.js, JavaScript"
Data Analyst,"Python, SQL, Excel","Firebase, CI/CD, MongoDB",M.Sc,Fresher,1,2,No,Data Analyst,"Excel, Python"
Flutter Developer,"Dart, Flutter","Linux, Git",B.Sc,0-1,0,3,No,Flutter Developer,"Dart, Flutter"
Backend Developer,"Java, Spring Boot, Node.js","Git, DSA",MCA,Fresher,4,1,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","System Design, Git, MongoDB, Firebase",MCA,Fresher,5,3,Yes,Backend Developer,None
Data Analyst,"Python, SQL, Excel","MongoDB, Linux, Firebase",M.Sc,1-3,6,0,No,Data Analyst,"Excel, SQL"
Data Scientist,"Python, Machine Learning, Statistics","REST API, Firebase, AWS, CI/CD",B.Tech,1-3,5,3,Yes,Data Scientist,None
Backend Developer,"Java, Spring Boot, Node.js","System Design, AWS",B.Sc,1-3,3,4,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","DSA, Docker",B.Sc,0-1,5,1,Yes,Flutter Developer,None
Data Scientist,"Python, Machine Learning, Statistics","REST API, AWS",B.Sc,3-5,5,1,Yes,Data Scientist,None
Full Stack Developer,"JavaScript, React, Node.js","Firebase, MongoDB, Git, AWS, Linux",B.Tech,1-3,4,2,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Docker, Firebase, Linux",M.Sc,3-5,0,3,No,Data Scientist,Machine Learning
Data Analyst,"Python, SQL, Excel","REST API, Firebase, System Design, MongoDB, Linux",M.Sc,Fresher,3,4,Yes,Data Analyst,None
Flutter Developer,"Dart, Flutter","System Design, AWS, REST API",B.Tech,3-5,4,0,No,Flutter Developer,Flutter
Java Developer,"Java, OOP, Spring","Git, Firebase, Linux, CI/CD, AWS",BCA,0-1,5,1,Yes,Java Developer,None
Flutter Developer,"Dart, Flutter","AWS, Firebase, REST API",MCA,Fresher,6,2,Yes,Flutter Developer,None
Data Scientist,"Python, Machine Learning, Statistics","MongoDB, CI/CD, Linux, System Design, Firebase",M.Sc,3-5,0,4,No,Data Scientist,Machine Learning
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, AWS, Linux",M.Sc,1-3,1,2,No,ML Engineer,"TensorFlow, Deep Learning"
Data Scientist,"Python, Machine Learning, Statistics","Git, CI/CD, Linux, Docker, System Design",B.Sc,0-1,5,3,Yes,Data Scientist,None
Data Analyst,"Python, SQL, Excel","System Design, Docker, Linux",Diploma,1-3,3,2,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","Linux, DSA, CI/CD",BCA,1-3,6,1,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Linux, CI/CD, MongoDB",Diploma,Fresher,2,1,Yes,Data Analyst,None
Python Developer,"Python, Flask, Django","Firebase, Docker",MCA,3-5,3,2,Yes,Python Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Linux, Git, System Design, MongoDB",BCA,Fresher,6,2,Yes,Frontend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, Docker, Linux, Git, AWS",MCA,0-1,0,0,No,ML Engineer,"TensorFlow, Deep Learning"
Java Developer,"Java, OOP, Spring","Docker, CI/CD, AWS, System Design",B.Sc,0-1,6,2,Yes,Java Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Linux, AWS",Diploma,3-5,4,3,Yes,Data Scientist,None
Java Developer,"Java, OOP, Spring","Git, CI/CD, DSA, System Design, Linux",B.Tech,0-1,2,4,Yes,Java Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Git, System Design, Linux, DSA",M.Sc,Fresher,1,1,No,Data Scientist,"Python, Machine Learning"
Data Analyst,"Python, SQL, Excel","AWS, CI/CD, Firebase, DSA, Git",Diploma,Fresher,6,0,No,Data Analyst,"Python, SQL"
Data Scientist,"Python, Machine Learning, Statistics","Docker, MongoDB, AWS, Firebase, Linux",MCA,1-3,4,2,Yes,Data Scientist,None
Frontend Developer,"HTML, CSS, JavaScript","DSA, Linux",B.Tech,3-5,4,2,Yes,Frontend Developer,None
Android Developer,"Java, Kotlin, Android SDK","Docker, Linux, DSA, System Design",B.Tech,0-1,3,0,No,Android Developer,"Java, Android SDK"
Data Analyst,"Python, SQL, Excel","Firebase, Git, CI/CD, Linux",BCA,3-5,6,0,No,Data Analyst,"Python, Excel"
Full Stack Developer,"JavaScript, React, Node.js","REST API, Git, Firebase, DSA, System Design",B.Tech,Fresher,3,4,Yes,Full Stack Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, MongoDB, System Design, CI/CD, Linux",B.Sc,0-1,2,3,Yes,Backend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, MongoDB",M.Sc,1-3,0,4,No,Frontend Developer,"JavaScript, CSS"
Data Scientist,"Python, Machine Learning, Statistics","Docker, AWS, System Design",MCA,3-5,5,1,Yes,Data Scientist,None
Python Developer,"Python, Flask, Django","REST API, AWS, Git, Docker",B.Sc,Fresher,6,3,Yes,Python Developer,None
Java Developer,"Java, OOP, Spring","AWS, Git",BCA,3-5,3,0,No,Java Developer,OOP
Java Developer,"Java, OOP, Spring","System Design, MongoDB",BCA,Fresher,2,3,Yes,Java Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, Firebase, AWS",B.Sc,0-1,2,2,Yes,Backend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Git, AWS, System Design",M.Sc,0-1,3,0,No,ML Engineer,"Python, Deep Learning, TensorFlow"
Java Developer,"Java, OOP, Spring","System Design, Firebase, Linux",MCA,Fresher,0,1,No,Java Developer,"OOP, Spring, Java"
Data Analyst,"Python, SQL, Excel","MongoDB, Git",BCA,1-3,3,4,Yes,Data Analyst,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, CI/CD, DSA, System Design, MongoDB",B.Tech,Fresher,0,0,No,Backend Developer,"Java, Spring Boot"
Frontend Developer,"HTML, CSS, JavaScript","AWS, System Design, MongoDB",Diploma,1-3,1,4,No,Frontend Developer,"HTML, JavaScript"
